20	0	0	0	18	5	2020
23	0	0	30	18	5	2020
21	0	1	0	18	5	2020
21	0	1	30	18	5	2020
17	0	2	0	18	5	2020
24	0	2	30	18	5	2020
23	0	3	0	18	5	2020
28	0	3	30	18	5	2020
19	0	4	0	18	5	2020
18	0	4	30	18	5	2020
25	0	5	0	18	5	2020
26	0	5	30	18	5	2020
26	0	6	0	18	5	2020
20	0	6	30	18	5	2020
16	0	7	0	18	5	2020
24	0	7	30	18	5	2020
23	0	8	0	18	5	2020
17	0	8	30	18	5	2020
21	0	9	0	18	5	2020
26	0	9	30	18	5	2020
23	0	10	0	18	5	2020
23	0	10	30	18	5	2020
16	0	11	0	18	5	2020
19	0	11	30	18	5	2020
28	0	12	0	18	5	2020
15	0	12	30	18	5	2020
23	0	13	0	18	5	2020
18	0	13	30	18	5	2020
29	0	14	0	18	5	2020
15	0	14	30	18	5	2020
15	0	15	0	18	5	2020
26	0	15	30	18	5	2020
23	0	16	0	18	5	2020
28	0	16	30	18	5	2020
24	0	17	0	18	5	2020
18	0	17	30	18	5	2020
29	0	18	0	18	5	2020
18	0	18	30	18	5	2020
23	0	19	0	18	5	2020
19	0	19	30	18	5	2020
21	0	20	0	18	5	2020
18	0	20	30	18	5	2020
22	0	21	0	18	5	2020
24	0	21	30	18	5	2020
15	0	22	0	18	5	2020
23	0	22	30	18	5	2020
18	0	23	0	18	5	2020
23	0	23	30	18	5	2020
26	0	24	0	18	5	2020
24	0	24	30	18	5	2020
27	0	25	0	18	5	2020
19	0	25	30	18	5	2020
24	0	26	0	18	5	2020
28	0	26	30	18	5	2020
16	0	27	0	18	5	2020
23	0	27	30	18	5	2020
20	0	28	0	18	5	2020
24	0	28	30	18	5	2020
26	0	29	0	18	5	2020
26	0	29	30	18	5	2020
16	0	30	0	18	5	2020
18	0	30	30	18	5	2020
15	0	31	0	18	5	2020
25	0	31	30	18	5	2020
23	0	32	0	18	5	2020
24	0	32	30	18	5	2020
20	0	33	0	18	5	2020
22	0	33	30	18	5	2020
27	0	34	0	18	5	2020
28	0	34	30	18	5	2020
26	0	35	0	18	5	2020
25	0	35	30	18	5	2020
17	0	36	0	18	5	2020
